True Vp,Est Vp,True Ve,Est Ve,True Ktrans,Est Ktrans,True Kep,Est Kep,Vp %Err,Ve/Vp ratio
0.31843,0.32777,0.65608,0.58708,0.12884,0.11502,0.19638,0.19591,2.933140722,206.0358635
0.22449,0.43375,0.46382,0.40981,0.094422,0.084385,0.20357,0.20591,93.21573344,206.6105394
0.23079,0.18995,0.4791,0.42842,0.12783,0.11477,0.2668,0.26789,17.69574072,207.5913168
0.30066,0.051907,0.62645,0.56131,0.18767,0.16924,0.29958,0.30151,82.73564824,208.3582785
0.20992,0.4432,0.43792,0.37506,0.048041,0.043481,0.1097,0.11593,111.1280488,208.6128049
0.21912,0.085932,0.45764,0.4003,0.042185,0.037984,0.092179,0.094889,60.78313253,208.8535962
0.31924,0.15169,0.676,0.60113,0.070363,0.063167,0.10409,0.10508,52.48402456,211.7529132
0.27115,0.030123,0.58592,0.5245,0.1741,0.157,0.29714,0.29934,88.89065093,216.0870367
0.27075,0.36459,0.5873,0.51297,0.086571,0.078174,0.14741,0.1524,34.65927978,216.9159741
0.22894,0.057797,0.49807,0.44511,0.14374,0.12872,0.2886,0.28919,74.75452084,217.5548179
0.3002,0.012983,0.65927,0.58788,0.1125,0.10116,0.17065,0.17208,95.67521652,219.6102598
0.084832,0.43933,0.18976,0.1657,0.047407,0.043371,0.24983,0.26175,417.8824029,223.6891739
0.091388,0.17412,0.20469,0.18096,0.023405,0.021225,0.11434,0.11729,90.52829693,223.9790782
0.28315,0.1719,0.63482,0.56288,0.13515,0.1218,0.21289,0.21638,39.29012891,224.1991877
0.24912,0.31161,0.56888,0.50771,0.12715,0.1142,0.22351,0.22493,25.08429672,228.3558125
0.26518,0.2826,0.60717,0.54137,0.16579,0.14879,0.27305,0.27484,6.56912286,228.9652312
0.27006,0.27228,0.6195,0.55278,0.14848,0.13407,0.23968,0.24254,0.822039547,229.3934681
0.16434,0.019216,0.37879,0.33829,0.042665,0.03841,0.11264,0.11354,88.30716807,230.4916636
0.29432,0.44466,0.68223,0.61132,0.15928,0.14208,0.23347,0.23242,51.08045665,231.7987225
0.27932,0.072129,0.64867,0.58079,0.17932,0.161,0.27644,0.27722,74.17692969,232.2318488
0.24128,0.39667,0.56156,0.50061,0.16111,0.14524,0.28689,0.29014,64.40235411,232.7420424
0.2397,0.41612,0.56055,0.48852,0.08169,0.074226,0.14573,0.15194,73.60033375,233.8548185
0.27076,0.22462,0.6359,0.55566,0.07117,0.064319,0.11192,0.11575,17.04092185,234.8574383
0.14497,0.28391,0.34564,0.30336,0.05894,0.053176,0.17052,0.17529,95.84051873,238.4217424
0.15011,0.19409,0.35929,0.32103,0.080014,0.072191,0.2227,0.22487,29.29851442,239.3511425
0.14857,0.41988,0.35878,0.32077,0.077223,0.0687,0.21524,0.21417,182.6142559,241.4888605
0.23561,0.15562,0.57711,0.50847,0.1143,0.10354,0.19805,0.20362,33.95017189,244.9429141
0.033854,0.048021,0.083022,0.074439,0.024175,0.021796,0.29119,0.29281,41.84734448,245.2354227
0.25149,0.083129,0.6174,0.55327,0.15466,0.13867,0.25049,0.25064,66.94540538,245.4968388
0.28044,0.25755,0.69082,0.61525,0.19551,0.1767,0.28302,0.28721,8.162173727,246.3343318
0.19885,0.34748,0.49048,0.44108,0.13532,0.12064,0.2759,0.27351,74.7447825,246.6582851
0.25768,0.44797,0.647,0.57478,0.074816,0.066903,0.11563,0.1164,73.84740764,251.0866191
0.26657,0.40893,0.67165,0.60212,0.17653,0.15672,0.26284,0.26028,53.40435908,251.9600855
0.19953,0.12269,0.50666,0.45318,0.13519,0.12145,0.26682,0.26799,38.51049967,253.9267278
0.19148,0.13834,0.48683,0.43469,0.11809,0.10583,0.24257,0.24346,27.75224567,254.2458742
0.26424,0.062364,0.67965,0.60663,0.19861,0.17844,0.29223,0.29415,76.39872843,257.2093551
0.25537,0.30093,0.65706,0.58675,0.17427,0.15704,0.26523,0.26764,17.84078004,257.297255
0.23085,0.12147,0.59711,0.52548,0.099485,0.089929,0.16661,0.17114,47.3814165,258.6571367
0.12197,0.36241,0.31843,0.28267,0.058832,0.052852,0.18476,0.18697,197.1304419,261.0723949
0.094736,0.27604,0.24744,0.21769,0.055994,0.050662,0.2263,0.23272,191.3781456,261.1889883
0.070205,0.37881,0.18362,0.16079,0.036967,0.032613,0.20132,0.20283,439.5769532,261.5483228
0.20774,0.12664,0.55084,0.49081,0.15175,0.1367,0.27549,0.27853,39.03918359,265.158371
