BATfinal,VpFinal,KtransFinal,Kepfinal,VeFinal,RSSFinal,RSS0,RSS1,RSS2,RSS3,F1v0,F2v1,F3v2,BAT1,Vp1,BAT2,Vp2,Ktrans2,BAT3,Vp3,Ktrans3,Kep3,Ve3,WhichModel,TProb1,TProb2,TProb3,TProbFinal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.00087105,0.00049849,0.088132,0.0056562,6.79E-08,1.08E-05,2.44E-06,5.52E-07,6.79E-08,1,1,1,1,0.0020229,1,0.0014529,0.00018717,1,0.00087105,0.00049849,0.088132,0.0056562,4,0.97366,0.93432,0.80928,0.80928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.0010193,0.00061641,0.085046,0.007248,1.58E-07,1.64E-05,4.00E-06,8.81E-07,1.58E-07,1,1,1,1,0.0024554,1,0.001723,0.00024046,1,0.0010193,0.00061641,0.085046,0.007248,4,0.98534,0.96844,0.95794,0.95794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.0012516,0.00077799,0.09648,0.0080638,2.14E-07,2.41E-05,5.51E-06,1.45E-06,2.14E-07,1,1,1,1,0.0030128,1,0.0021768,0.0002745,1,0.0012516,0.00077799,0.09648,0.0080638,4,0.9601,0.90817,0.76298,0.76298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.0010249,0.0010635,0.11144,0.0095425,3.38E-07,3.19E-05,8.75E-06,2.64E-06,3.38E-07,1,1,1,1,0.0033572,1,0.0023326,0.00033642,1,0.0010249,0.0010635,0.11144,0.0095425,4,0.97277,0.94797,0.88542,0.88542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.0019097,0.00104,0.1438,0.0072322,3.74E-07,4.00E-05,6.49E-06,2.55E-06,3.74E-07,1,1,1,1,0.0040441,1,0.003222,0.00026994,1,0.0019097,0.00104,0.1438,0.0072322,4,0.95309,0.91851,0.79748,0.79748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.0010776,0.0011219,0.16482,0.0068073,2.67E-07,2.86E-05,6.30E-06,2.72E-06,2.67E-07,1,1,1,1,0.0032953,1,0.0025112,0.00025747,1,0.0010776,0.0011219,0.16482,0.0068073,4,0.97331,0.96075,0.9168,0.9168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.00087543,0.00087811,0.11191,0.0078466,1.42E-07,2.19E-05,5.80E-06,1.74E-06,1.42E-07,1,1,1,1,0.0027992,1,0.0019639,0.00027427,1,0.00087543,0.00087811,0.11191,0.0078466,4,0.97648,0.95553,0.8651,0.8651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.0012601,0.00095708,0.119,0.0080426,1.60E-07,2.91E-05,6.40E-06,2.05E-06,1.60E-07,1,1,1,1,0.0033278,1,0.0024642,0.00028358,1,0.0012601,0.00095708,0.119,0.0080426,4,0.97148,0.94621,0.80997,0.80997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.0016694,0.0014935,0.47419,0.0031496,6.78E-07,2.89E-05,3.20E-06,2.37E-06,6.78E-07,1,0.99999,1,1,0.0035393,1,0.0031611,0.00012418,1,0.0016694,0.0014935,0.47419,0.0031496,4,0.88962,0.87405,0.84551,0.84551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.0018576,0.0014777,0.39154,0.0037741,4.73E-07,3.49E-05,3.69E-06,2.58E-06,4.73E-07,1,1,1,1,0.0039048,1,0.0034666,0.00014386,1,0.0018576,0.0014777,0.39154,0.0037741,4,0.90286,0.88456,0.79759,0.79759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.0015621,0.0010042,0.41227,0.0024357,2.67E-07,1.89E-05,1.57E-06,1.15E-06,2.67E-07,1,0.99999,1,1,0.0029053,1,0.0026361,8.84E-05,1,0.0015621,0.0010042,0.41227,0.0024357,4,0.84797,0.82271,0.70888,0.70888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.0013903,0.0014935,0.32809,0.0045519,2.44E-07,3.16E-05,4.37E-06,2.86E-06,2.44E-07,1,1,1,1,0.0036462,1,0.0031362,0.00016744,1,0.0013903,0.0014935,0.32809,0.0045519,4,0.92006,0.90234,0.72709,0.72709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.00093104,0.0016482,0.57934,0.0028449,1.25E-07,1.77E-05,2.08E-06,1.60E-06,1.25E-07,1,0.99995,1,1,0.0027619,1,0.0024751,9.42E-05,1,0.00093104,0.0016482,0.57934,0.0028449,4,0.91258,0.90357,0.78846,0.78846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.0013323,0.0011496,0.34603,0.0033223,1.66E-07,2.11E-05,2.41E-06,1.60E-06,1.66E-07,1,1,1,1,0.0030215,1,0.0026488,0.00012237,1,0.0013323,0.0011496,0.34603,0.0033223,4,0.93448,0.92082,0.81663,0.81663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.0014576,0.0014617,0.46324,0.0031553,2.06E-07,2.49E-05,2.48E-06,1.81E-06,2.06E-07,1,0.99999,1,1,0.0033096,1,0.0029694,0.0001117,1,0.0014576,0.0014617,0.46324,0.0031553,4,0.90426,0.88944,0.75739,0.75739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.0013304,0.0012303,0.28912,0.0042555,2.48E-07,2.60E-05,3.67E-06,2.25E-06,2.48E-07,1,1,1,1,0.0032996,1,0.0028059,0.00016212,1,0.0013304,0.0012303,0.28912,0.0042555,4,0.94492,0.93089,0.84567,0.84567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.00068841,0.00072128,0.23443,0.0030767,1.37E-07,9.60E-06,1.75E-06,9.62E-07,1.37E-07,1,1,1,1,0.0019568,1,0.0015882,0.00012102,1,0.00068841,0.00072128,0.23443,0.0030767,4,0.95925,0.94662,0.91044,0.91044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.00055163,0.00076897,0.19088,0.0040286,1.25E-07,1.06E-05,2.42E-06,1.19E-06,1.25E-07,1,1,1,1,0.0019969,1,0.001537,0.000151,1,0.00055163,0.00076897,0.19088,0.0040286,4,0.97403,0.96572,0.94814,0.94814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.00094733,0.00079083,0.097027,0.0081506,1.79E-07,2.11E-05,5.68E-06,1.44E-06,1.79E-07,1,1,1,1,0.0027417,1,0.001888,0.00028031,1,0.00094733,0.00079083,0.097027,0.0081506,4,0.98135,0.96147,0.91665,0.91665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.001105,0.00081868,0.12221,0.0066987,1.45E-07,2.14E-05,4.64E-06,1.52E-06,1.45E-07,1,1,1,1,0.0028604,1,0.0021286,0.00024029,1,0.001105,0.00081868,0.12221,0.0066987,4,0.9697,0.94319,0.8256,0.8256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.00085393,0.00092505,0.14787,0.0062558,1.95E-07,2.01E-05,4.76E-06,1.89E-06,1.95E-07,1,1,1,1,0.002737,1,0.0020346,0.00023063,1,0.00085393,0.00092505,0.14787,0.0062558,4,0.96689,0.94677,0.87084,0.87084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.0022375,0.00097515,0.20657,0.0047206,5.80E-07,3.73E-05,4.15E-06,2.23E-06,5.80E-07,1,1,1,1,0.0040218,1,0.0034474,0.0001886,1,0.0022375,0.00097515,0.20657,0.0047206,4,0.90206,0.8595,0.7553,0.7553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.0021263,0.0011163,0.25865,0.0043159,7.40E-07,3.66E-05,4.07E-06,2.57E-06,7.40E-07,1,1,1,1,0.0039863,1,0.003479,0.00016657,1,0.0021263,0.0011163,0.25865,0.0043159,4,0.86995,0.83424,0.74507,0.74507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.0015235,0.00099068,0.14386,0.0068862,3.38E-07,3.17E-05,5.81E-06,2.28E-06,3.38E-07,1,1,1,1,0.0035543,1,0.0027748,0.00025594,1,0.0015235,0.00099068,0.14386,0.0068862,4,0.94549,0.90517,0.77158,0.77158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.0014279,0.0012025,0.18083,0.0066503,2.73E-07,3.49E-05,6.38E-06,2.96E-06,2.73E-07,1,1,1,1,0.0037309,1,0.0029639,0.00025185,1,0.0014279,0.0012025,0.18083,0.0066503,4,0.96599,0.95031,0.87085,0.87085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.001116,0.001146,0.13515,0.0084794,3.02E-07,3.36E-05,8.24E-06,2.99E-06,3.02E-07,1,1,1,1,0.0035156,1,0.0025664,0.00031168,1,0.001116,0.001146,0.13515,0.0084794,4,0.96367,0.93715,0.82906,0.82906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
