68,,,,,,,,,,TRUE,,
VP,KTRANS,KEP ,,,,,,,,VP,KTRANS,KEP 
0.00049703,0.00048074,0.00044654,0.00039118,0.00059676,0.00065178,,1,,,,,
0.00063886,0.00058663,0.00086478,0.00087217,0.00088565,0.00069661,,1,,,,,
0.00049486,0.00046584,0.0004397,0.0003867,0.00058972,0.00059852,,1,,,,,
0.0007686,0.00068822,0.0015706,0.0013029,0.0011803,0.0010806,,2,,,,,
0.00080462,0.00074204,0.0011652,0.0012288,0.0011593,0.0010892,,2,,,,,
0.00072712,0.00069889,0.00057412,0.0010041,0.0010348,0.0010141,,2,,,,,
0.00054402,0.00050069,0.00077515,0.00076138,0.00080036,0.00083963,,2,,,,,
0.00046876,0.00045674,0.00039874,0.00059707,0.00059923,0.00063645,,2,,,,,
0.00054877,0.0005694,0.00045763,0.00040857,0.00073051,0.00074672,,2,,,,,
0.00045578,0.0004651,0.00039493,0.00035508,0.00059743,0.00063452,,2,,,,,
0.00060345,0.00057206,0.00047315,0.00085743,0.00089187,0.00089421,,2,,,,,
0.00050939,0.00051873,0.00045542,0.00070049,0.00072274,0.00078059,,2,,,,,
0.00065124,0.00065171,0.00096478,0.00092362,0.00093511,0.00096287,,2,,,,,
0.00027381,0.00025559,0.00038369,0.0003983,0.00039532,0.00039695,,2,,,,,
0.00074926,0.00071186,0.0013023,0.0013667,0.0009958,0.00075179,,2,,,,,
0.00057453,0.00055199,0.00048714,0.00040636,0.00073784,0.00077375,,2,,,,,
0.00068722,0.00066745,0.00059212,0.00086372,0.00093935,0.0010075,,2,,,,,
0.00067915,0.00064986,0.00053622,0.0012592,0.0012247,0.0009942,,2,,,,,
0.00042188,0.00037948,0.00032058,0.00028513,0.00021486,0.00047615,,2,,,,,
0.00068029,0.00063319,0.0005289,0.0010492,0.0010481,0.00094234,,2,,,,,
0.00083188,0.00074055,0.00061877,0.0011093,0.00096246,0.00099011,,2,,,,,
0.00038145,0.00034618,0.00068491,0.00058122,0.0005795,0.00057564,,3,,,,,
0.0005324,0.00047632,0.00078467,0.00080078,0.00081473,0.0007861,,3,,,,,
0.0003912,0.00035868,0.00027904,0.0007217,0.00065185,0.00049338,,3,,,,,
