True Vp,Est Vp,True Ve,Est Ve,True Ktrans,Est Ktrans,True Kep,Est Kep,Vp %Err,Ktrans %Err,Kep %Err
0.16825,0.16201,39.172,35.42,0.39172,0.35032,0.01,0.0098904,3.71,10.57,1.10
0.15464,0.14143,16.944,14.991,0.16944,0.15284,0.01,0.010195,8.54,9.80,1.95
0.070305,0.065283,26.668,23.533,0.26668,0.24013,0.01,0.010204,7.14,9.96,2.04
0.14945,0.13309,6.4253,5.7216,0.064253,0.057851,0.01,0.010111,10.95,9.96,1.11
0.032239,0.026956,12.587,11.128,0.12587,0.11328,0.01,0.01018,16.39,10.00,1.80
0.09091,0.077983,49.087,43.766,0.49087,0.44123,0.01,0.010082,14.22,10.11,0.82
0.20348,0.18206,6.5957,5.8118,0.065957,0.059303,0.01,0.010204,10.53,10.09,2.04
0.27357,0.24774,25.441,22.556,0.25441,0.22889,0.01,0.010147,9.44,10.03,1.47
0.1751,0.15797,29.342,26.382,0.29342,0.26383,0.01,0.01,9.78,10.08,0.00
0.28022,0.25156,13.456,12.266,0.13456,0.12064,0.01,0.0098356,10.23,10.34,1.64
0.2112,0.19227,26.407,24.206,0.26407,0.23688,0.01,0.0097862,8.96,10.30,2.14
0.041298,0.038201,5.0039,4.496,0.050039,0.044934,0.01,0.0099943,7.50,10.20,0.06
0.052856,0.044176,19.192,16.86,0.19192,0.17295,0.01,0.010258,16.42,9.88,2.58
0.1955,0.17444,18.694,16.514,0.18694,0.16785,0.01,0.010164,10.77,10.21,1.64
0.28806,0.26305,20.68,19.065,0.2068,0.18463,0.01,0.009684,8.68,10.72,3.16
0.08153,0.071621,21.874,19.256,0.21874,0.19695,0.01,0.010228,12.15,9.96,2.28
0.1087,0.099024,12.671,11.723,0.12671,0.1132,0.01,0.0096556,8.90,10.66,3.44
0.17977,0.15538,30.589,26.76,0.30589,0.27635,0.01,0.010327,13.57,9.66,3.27
0.14493,0.12888,22.4,20.066,0.224,0.20122,0.01,0.010028,11.07,10.17,0.28
0.29027,0.25912,32.153,28.898,0.32153,0.28839,0.01,0.0099795,10.73,10.31,0.20
0.10438,0.098544,46.527,42.293,0.46527,0.41807,0.01,0.009885,5.59,10.14,1.15
0.042984,0.040202,23.422,21.445,0.23422,0.20976,0.01,0.0097812,6.47,10.44,2.19
0.15644,0.14123,22.729,20.989,0.22729,0.2029,0.01,0.0096669,9.72,10.73,3.33
0.19902,0.18067,17.895,15.99,0.17895,0.16087,0.01,0.01006,9.22,10.10,0.60
0.0526,0.047425,28.169,25.719,0.28169,0.25214,0.01,0.0098037,9.84,10.49,1.96
0.28324,0.25394,18.46,16.59,0.1846,0.16578,0.01,0.0099931,10.34,10.20,0.07
0.19507,0.1774,46.813,41.857,0.46813,0.42047,0.01,0.010045,9.06,10.18,0.45
0.14801,0.12902,27.905,24.006,0.27905,0.25173,0.01,0.010486,12.83,9.79,4.86
0.16699,0.15317,38.711,34.904,0.38711,0.34597,0.01,0.0099119,8.28,10.63,0.88
0.084975,0.070255,25.286,22.775,0.25286,0.2263,0.01,0.0099366,17.32,10.50,0.63
0.031208,0.024076,20.661,18.407,0.20661,0.18654,0.01,0.010134,22.85,9.71,1.34
0.26997,0.24698,25.944,23.34,0.25944,0.23214,0.01,0.0099463,8.52,10.52,0.54
0.027439,0.025774,10.402,9.6714,0.10402,0.093148,0.01,0.0096312,6.07,10.45,3.69
0.13078,0.12045,39.577,35.189,0.39577,0.35541,0.01,0.0101,7.90,10.20,1.00
0.14323,0.12936,37.871,34.034,0.37871,0.34006,0.01,0.0099916,9.68,10.21,0.08
0.28985,0.26166,27.74,25.646,0.2774,0.2477,0.01,0.0096586,9.73,10.71,3.41
0.23648,0.21528,45.683,41.758,0.45683,0.40913,0.01,0.0097976,8.96,10.44,2.02
0.1737,0.16019,49.86,44.667,0.4986,0.44772,0.01,0.010024,7.78,10.20,0.24
0.25804,0.23441,37.679,33.28,0.37679,0.33912,0.01,0.01019,9.16,10.00,1.90
0.277,0.25301,33.856,30.919,0.33856,0.30295,0.01,0.0097981,8.66,10.52,2.02
0.23628,0.21062,12.913,11.796,0.12913,0.11587,0.01,0.0098235,10.86,10.27,1.77
0.18334,0.16496,10.114,9.0511,0.10114,0.090909,0.01,0.010044,10.03,10.12,0.44
0.15382,0.14313,39.2,35.271,0.392,0.35162,0.01,0.0099689,6.95,10.30,0.31
0.16878,0.14498,44.585,39.505,0.44585,0.40042,0.01,0.010136,14.10,10.19,1.36
0.29686,0.26591,22.654,20.404,0.22654,0.20342,0.01,0.0099694,10.43,10.21,0.31
0.27213,0.24162,33.691,29.117,0.33691,0.30479,0.01,0.010468,11.21,9.53,4.68
0.299,0.27245,26.469,24.581,0.26469,0.23673,0.01,0.0096304,8.88,10.56,3.70
0.16552,0.14626,17.877,16.29,0.17877,0.16031,0.01,0.0098409,11.64,10.33,1.59
0.28305,0.25393,13.132,11.76,0.13132,0.11793,0.01,0.010028,10.29,10.20,0.28
0.069636,0.066104,18.993,17.535,0.18993,0.1699,0.01,0.009689,5.07,10.55,3.11
0.18885,0.17233,9.3898,8.5859,0.093898,0.084181,0.01,0.0098046,8.75,10.35,1.95
0.098656,0.090276,33.439,29.941,0.33439,0.29929,0.01,0.0099961,8.49,10.50,0.04
0.067676,0.057368,47.464,42.969,0.47464,0.42518,0.01,0.0098952,15.23,10.42,1.05
0.25925,0.23593,16.966,15.053,0.16966,0.1526,0.01,0.010138,9.00,10.06,1.38
0.010397,0.005808,25.861,22.337,0.25861,0.23344,0.01,0.010451,44.14,9.73,4.51
0.049904,0.042627,34.561,30.083,0.34561,0.31116,0.01,0.010343,14.58,9.97,3.43
0.10136,0.09267,37.03,32.405,0.3703,0.33419,0.01,0.010313,8.57,9.75,3.13
0.26002,0.23897,24.671,23.2,0.24671,0.21948,0.01,0.0094603,8.10,11.04,5.40
0.031995,0.032583,22.155,20.623,0.22155,0.19812,0.01,0.0096069,1.84,10.58,3.93
0.242,0.22767,32.535,29.445,0.32535,0.29152,0.01,0.0099006,5.92,10.40,0.99
0.060032,0.055016,8.0667,7.2117,0.080667,0.072332,0.01,0.01003,8.36,10.33,0.30
0.059248,0.060352,38.77,35.582,0.3877,0.34583,0.01,0.0097192,1.86,10.80,2.81
0.060744,0.055412,35.309,32.325,0.35309,0.31704,0.01,0.0098078,8.78,10.21,1.92
0.17782,0.16128,19.575,17.983,0.19575,0.17541,0.01,0.0097541,9.30,10.39,2.46
0.21662,0.19636,24.702,22.052,0.24702,0.22159,0.01,0.010049,9.35,10.29,0.49
0.29389,0.26645,49.811,44.534,0.49811,0.44833,0.01,0.010067,9.34,9.99,0.67
0.10712,0.099585,23.7,21.846,0.237,0.21212,0.01,0.0097099,7.03,10.50,2.90
0.23157,0.20839,35.827,32.679,0.35827,0.32125,0.01,0.0098307,10.01,10.33,1.69
0.037101,0.042851,23.984,22.144,0.23984,0.21374,0.01,0.0096525,15.50,10.88,3.48
0.29467,0.26128,30.531,28.697,0.30531,0.27289,0.01,0.0095096,11.33,10.62,4.90
0.25716,0.23955,29.764,26.976,0.29764,0.26598,0.01,0.00986,6.85,10.64,1.40
0.22718,0.20543,22.199,19.902,0.22199,0.19964,0.01,0.010031,9.57,10.07,0.31
0.17632,0.16354,18.445,16.993,0.18445,0.16565,0.01,0.009748,7.25,10.19,2.52
0.20178,0.18139,48.332,43.278,0.48332,0.4354,0.01,0.01006,10.11,9.91,0.60
0.17004,0.15139,14.515,12.69,0.14515,0.13095,0.01,0.01032,10.97,9.78,3.20
0.015143,0.016819,25.377,22.591,0.25377,0.22829,0.01,0.010105,11.07,10.04,1.05
0.033441,0.039318,29.808,26.733,0.29808,0.26764,0.01,0.010011,17.57,10.21,0.11
0.28867,0.26525,33.429,30.25,0.33429,0.29881,0.01,0.009878,8.11,10.61,1.22
0.25251,0.22707,15.4,14.109,0.154,0.13795,0.01,0.0097775,10.07,10.42,2.23
0.023319,0.021284,17.032,15.293,0.17032,0.15334,0.01,0.010026,8.73,9.97,0.26
0.21679,0.19664,37.448,34.454,0.37448,0.33562,0.01,0.0097411,9.29,10.38,2.59
0.074931,0.072541,37.255,33.829,0.37255,0.33415,0.01,0.0098777,3.19,10.31,1.22
0.11565,0.10283,28.306,25.452,0.28306,0.25371,0.01,0.0099679,11.09,10.37,0.32
0.20354,0.17272,40.495,35.859,0.40495,0.36455,0.01,0.010166,15.14,9.98,1.66
0.11701,0.093304,47.925,42.493,0.47925,0.43135,0.01,0.010151,20.26,9.99,1.51
0.27399,0.24755,17.609,15.99,0.17609,0.15831,0.01,0.0099008,9.65,10.10,0.99
0.14904,0.14042,34.967,30.999,0.34967,0.31379,0.01,0.010123,5.78,10.26,1.23
0.052927,0.048357,22.402,20.322,0.22402,0.20108,0.01,0.0098948,8.63,10.24,1.05
0.2715,0.2483,25.004,23.274,0.25004,0.22288,0.01,0.0095762,8.55,10.86,4.24
0.17035,0.16503,41.859,37.342,0.41859,0.37635,0.01,0.010079,3.12,10.09,0.79
0.026131,0.022774,18.839,17.076,0.18839,0.16893,0.01,0.009893,12.85,10.33,1.07
0.2025,0.17935,36.175,32.186,0.36175,0.32492,0.01,0.010095,11.43,10.18,0.95
0.097018,0.09426,41.673,37.886,0.41673,0.3729,0.01,0.0098425,2.84,10.52,1.58
0.056492,0.051565,40.284,37.065,0.40284,0.35961,0.01,0.0097022,8.72,10.73,2.98
0.28732,0.26148,23.073,20.205,0.23073,0.20769,0.01,0.010279,8.99,9.99,2.79
0.2204,0.19587,13.471,11.89,0.13471,0.12178,0.01,0.010242,11.13,9.60,2.42
0.15094,0.13636,7.4489,6.9152,0.074489,0.066672,0.01,0.0096414,9.66,10.49,3.59
0.24952,0.22555,28.291,24.616,0.28291,0.25523,0.01,0.010368,9.61,9.78,3.68
0.092488,0.085461,35.598,31.617,0.35598,0.31971,0.01,0.010112,7.60,10.19,1.12
0.15443,0.13883,8.5078,7.7574,0.085078,0.076344,0.01,0.0098414,10.10,10.27,1.59
0.18746,0.16798,8.156,7.4217,0.08156,0.072993,0.01,0.009835,10.39,10.50,1.65
0.05032,0.046433,9.5057,8.6135,0.095057,0.085219,0.01,0.0098937,7.72,10.35,1.06
0.010508,0.010132,13.327,11.697,0.13327,0.12039,0.01,0.010292,3.58,9.66,2.92
0.036103,0.023984,42.981,38.459,0.42981,0.38525,0.01,0.010017,33.57,10.37,0.17
0.069894,0.066321,26.788,24.197,0.26788,0.24043,0.01,0.0099362,5.11,10.25,0.64
0.1527,0.1384,12.29,10.877,0.1229,0.11017,0.01,0.010128,9.36,10.36,1.28
0.10572,0.0956,19.792,17.97,0.19792,0.17712,0.01,0.0098568,9.57,10.51,1.43
0.14949,0.13568,18.101,16.668,0.18101,0.16201,0.01,0.0097201,9.24,10.50,2.80
0.098964,0.089072,16.385,15.055,0.16385,0.14679,0.01,0.0097499,10.00,10.41,2.50
0.036255,0.028973,19.446,17.23,0.19446,0.17473,0.01,0.010141,20.09,10.15,1.41
0.057759,0.050278,6.3979,5.7458,0.063979,0.057458,0.01,0.01,12.95,10.19,0.00
0.047813,0.045087,25.368,22.211,0.25368,0.22911,0.01,0.010315,5.70,9.69,3.15
0.24627,0.22188,46.6,41.62,0.466,0.41874,0.01,0.010061,9.90,10.14,0.61
