True Vp,Est Vp,True Ve,Est Ve,True Ktrans,Est Ktrans,True Kep,Est Kep
0.22216,0.20412,2.958,2.7026,0.32538,0.28842,0.11,0.10672
0.063341,0.058683,1.7467,1.5532,0.19213,0.17191,0.11,0.11068
0.23231,0.20949,0.61179,0.65985,0.067296,0.058345,0.11,0.088421
0.28413,0.25823,1.4041,1.2411,0.15445,0.13818,0.11,0.11134
0.22815,0.20867,3.4418,3.0201,0.3786,0.34149,0.11,0.11307
0.079636,0.070092,1.4955,1.3343,0.1645,0.14895,0.11,0.11163
0.2594,0.23608,4.102,3.9191,0.45122,0.40365,0.11,0.10299
0.18366,0.16253,1.3981,1.186,0.15379,0.13871,0.11,0.11695
0.20455,0.18621,1.3572,1.8263,0.14929,0.12486,0.11,0.068366
0.18228,0.1659,4.4687,4.1601,0.49156,0.43604,0.11,0.10481
0.10934,0.099196,3.4382,2.959,0.3782,0.34521,0.11,0.11666
0.27316,0.2474,2.7983,2.7157,0.30781,0.27118,0.11,0.099857
0.2467,0.22629,2.7579,2.8435,0.30337,0.26246,0.11,0.092301
0.1373,0.12268,0.48971,0.41973,0.053868,0.049604,0.11,0.11818
0.14158,0.13367,4.4179,3.8161,0.48597,0.43932,0.11,0.11512
0.054212,0.049678,2.7013,2.5383,0.29714,0.26421,0.11,0.10409
0.21334,0.19211,0.94775,0.81471,0.10425,0.09473,0.11,0.11627
0.15084,0.13669,4.0058,3.7773,0.44064,0.3913,0.11,0.10359
0.087843,0.079837,1.5702,1.4425,0.17272,0.15417,0.11,0.10687
0.20072,0.18231,2.992,2.8033,0.32912,0.29222,0.11,0.10424
0.088682,0.081994,1.6536,1.5183,0.1819,0.15962,0.11,0.10513
0.014791,0.012722,3.2048,2.9151,0.35252,0.31677,0.11,0.10867
0.030351,0.027932,4.3377,4.0133,0.47715,0.4289,0.11,0.10687
0.090342,0.082962,3.6494,3.0941,0.40144,0.36389,0.11,0.11761
0.25795,0.23243,4.3504,4.1041,0.47854,0.42622,0.11,0.10385
0.15038,0.13442,1.0493,0.87177,0.11542,0.10523,0.11,0.12071
0.05049,0.046432,1.8832,1.6583,0.20715,0.18576,0.11,0.11202
0.24317,0.21513,2.6687,2.1659,0.29355,0.27009,0.11,0.1247
0.19592,0.1768,0.71563,0.6752,0.078719,0.069537,0.11,0.10299
0.19399,0.17201,3.998,3.5299,0.43978,0.39379,0.11,0.11156
0.054203,0.047533,1.2345,1.0109,0.1358,0.124,0.11,0.12266
0.14479,0.1301,1.5756,1.5404,0.17331,0.15274,0.11,0.099156
0.036693,0.036516,3.2255,3.0659,0.35481,0.31389,0.11,0.10238
0.068587,0.062218,1.54,1.5286,0.1694,0.14731,0.11,0.09637
0.15564,0.13507,3.8308,3.3609,0.42139,0.38532,0.11,0.11465
0.20928,0.18852,4.2831,3.7427,0.47114,0.4271,0.11,0.11411
0.2306,0.20827,1.3981,1.3853,0.15379,0.13621,0.11,0.098325
0.12562,0.11534,2.9507,2.7956,0.32458,0.2885,0.11,0.1032
0.23187,0.20799,2.1911,1.8809,0.24102,0.21758,0.11,0.11568
0.24739,0.22378,1.4317,1.4993,0.15749,0.13545,0.11,0.090345
0.22538,0.19959,1.757,1.566,0.19327,0.17369,0.11,0.11091
0.27454,0.24877,2.9592,2.6748,0.32551,0.29184,0.11,0.10911
